"","player_name","total_starts","last_Tm","last_Pos","sum_PTS_min","sum_FGA_min","sum_FTA_min","sum_AST_min","sum_ORB_min","TSp","player_id","salary"
"1","Stephen Curry",69,"GSW","PG",0.81,0.57,0.12,0.15,0.02,67.9,132,37457154
"2","Russell Westbrook",73,"OKC","PG",0.64,0.56,0.17,0.3,0.04,53.6,548,35665000
"3","Chris Paul",58,"HOU","PG",0.49,0.39,0.11,0.25,0.02,59.2,428,35654150
"4","LeBron James",55,"LAL","SF",0.78,0.57,0.22,0.23,0.03,63.1,278,35654150
"5","Kyle Lowry",65,"TOR","PG",0.42,0.33,0.09,0.25,0.02,60,337,32700000
"6","Blake Griffin",75,"DET","PF",0.7,0.51,0.21,0.15,0.04,62.9,219,31873932
"7","Gordon Hayward",18,"BOS","PF",0.44,0.34,0.1,0.13,0.03,60.8,237,31214295
"8","James Harden",78,"HOU","PG",0.98,0.67,0.3,0.2,0.02,66.6,224,30570000
"9","Paul George",77,"OKC","SF",0.76,0.57,0.19,0.11,0.04,62.1,197,30560700
"10","Mike Conley",70,"MEM","PG",0.63,0.48,0.17,0.19,0.02,60.9,119,30521115
"11","Kevin Durant",78,"GSW","SF",0.75,0.51,0.19,0.17,0.01,68,160,3e+07
"12","Paul Millsap",65,"DEN","PF",0.47,0.35,0.13,0.07,0.08,62.1,375,29230769
"13","Al Horford",68,"BOS","C",0.47,0.37,0.05,0.14,0.06,61.7,256,28928710
"14","Damian Lillard",80,"POR","PG",0.73,0.54,0.18,0.19,0.02,63,328,27977689
"15","DeMar DeRozan",77,"SAS","SG",0.61,0.49,0.16,0.18,0.02,58.1,145,27739975
"16","Jrue Holiday",67,"NOP","SG",0.59,0.48,0.11,0.22,0.03,58.5,248,26641111
"17","Otto Porter",86,"TOT","SF",1.43,1.16,0.18,0.22,0.09,59.6,438,26011913
"18","CJ McCollum",70,"POR","SG",0.62,0.52,0.08,0.09,0.03,57.7,358,25759766
"19","Andrew Wiggins",73,"MIN","SF",0.52,0.48,0.12,0.07,0.03,51.3,553,25467250
"20","Joel Embiid",64,"PHI","C",0.82,0.56,0.3,0.11,0.07,65.5,166,25467250
"21","Nikola Jokic",80,"DEN","C",0.64,0.48,0.14,0.23,0.09,62.6,291,25467250
"22","Anthony Davis",56,"NOP","C",0.78,0.55,0.23,0.12,0.09,64.9,135,25434263
"23","Andre Drummond",79,"DET","C",0.52,0.4,0.16,0.04,0.16,59.7,157,25434262
"24","Bradley Beal",82,"WAS","SG",0.69,0.53,0.15,0.15,0.03,61.3,43,25434262
"25","Hassan Whiteside",53,"MIA","C",0.53,0.41,0.15,0.03,0.15,59.8,552,24434262
"26","Dwight Howard",9,"WAS","C",0.5,0.3,0.21,0.02,0.1,72.2,258,24256725
