"","Rk.x","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","P3Ar","TSp","eFGp","TOVp","ORBp","FT_per_FGA","DRBp","Rk.y","G","MP","FG","FGA","FGp","P3","P3A","P3p","P2","P2A","P2p","FT","FTA","FTp","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","TSp_avg","win_percentage","TSp_norm","AST_per_game","ORB_per_game"
"1",1,"Milwaukee Bucks",26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,80.3,1,82,19780,3555,7471,0.476,1105,3134,0.353,2450,4337,0.565,1471,1904,0.773,762,3316,4078,2136,615,486,1137,1608,9686,"above_avg",73.1707317073171,58.3,26.0487804878049,9.29268292682927
"2",3,"Toronto Raptors",27.3,58,24,56,26,6.09,-0.6,5.49,113.1,107.1,6,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,77.1,8,82,19880,3460,7305,0.474,1015,2771,0.366,2445,4534,0.539,1449,1803,0.804,786,2920,3706,2085,680,437,1150,1724,9384,"above_avg",70.7317073170732,57.9,25.4268292682927,9.58536585365854
"3",4,"Utah Jazz",27.3,50,32,54,28,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,80.3,17,82,19755,3314,7082,0.468,993,2789,0.356,2321,4293,0.541,1540,2092,0.736,820,2981,3801,2133,663,483,1240,1728,9161,"above_avg",60.9756097560976,57.2,26.0121951219512,10
"4",5,"Houston Rockets",29.2,53,29,53,29,4.77,0.19,4.96,115.5,110.7,4.8,97.9,0.279,0.519,0.581,0.542,12,22.8,0.221,74.4,11,82,19830,3218,7163,0.449,1323,3721,0.356,1895,3442,0.551,1582,2001,0.791,836,2613,3449,1741,700,405,1094,1803,9341,"above_avg",64.6341463414634,58.1,21.2317073170732,10.1951219512195
"5",6,"Portland Trail Blazers",26.2,53,29,51,31,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,77.9,6,82,19855,3470,7427,0.467,904,2520,0.359,2566,4907,0.523,1558,1914,0.814,967,2968,3935,1887,546,413,1135,1669,9402,"above_avg",64.6341463414634,56.8,23.0121951219512,11.7926829268293
"6",8,"Boston Celtics",25.7,49,33,52,30,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,77,14,82,19780,3451,7423,0.465,1032,2829,0.365,2419,4594,0.527,1282,1598,0.802,804,2849,3653,2155,706,435,1052,1670,9216,"above_avg",59.7560975609756,56.7,26.280487804878,9.80487804878049
"7",10,"Indiana Pacers",27,48,34,50,32,3.33,-0.57,2.76,109.9,106.5,3.4,98.1,0.242,0.292,0.561,0.53,12.4,21.9,0.182,76.2,22,82,19705,3390,7135,0.475,779,2081,0.374,2611,5054,0.517,1298,1727,0.752,762,2766,3528,2128,713,404,1122,1594,8857,"above_avg",58.5365853658537,56.1,25.9512195121951,9.29268292682927
"8",11,"Philadelphia 76ers",26.4,51,31,48,34,2.7,-0.44,2.25,112.6,110,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,78.6,4,82,19805,3407,7233,0.471,889,2474,0.359,2518,4759,0.529,1742,2258,0.771,892,3025,3917,2207,606,432,1223,1745,9445,"above_avg",62.1951219512195,57.4,26.9146341463415,10.8780487804878
"9",12,"San Antonio Spurs",28.8,48,34,45,37,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11,21,0.194,79.4,18,82,19805,3468,7248,0.478,812,2071,0.392,2656,5177,0.513,1408,1720,0.819,757,2910,3667,2013,501,386,992,1487,9156,"above_avg",58.5365853658537,57.2,24.5487804878049,9.23170731707317
"10",13,"Los Angeles Clippers",27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,76,5,82,19830,3384,7178,0.471,821,2118,0.388,2563,5060,0.507,1853,2340,0.792,796,2936,3732,1970,561,385,1193,1913,9442,"above_avg",58.5365853658537,57.5,24.0243902439024,9.70731707317073
